Day,numGames,numSessions,DayNum,hasGame
4/3/15,0,3582,1227,FALSE
12/8/11,1,1472,20,TRUE
3/28/14,0,2399,856,FALSE
6/1/15,0,2166,1286,FALSE
3/22/12,0,840,121,FALSE
9/1/13,0,5615,648,FALSE
7/10/15,0,2077,1325,FALSE
7/30/14,0,1925,980,FALSE
3/12/15,0,3387,1205,FALSE
10/16/14,1,5011,1058,TRUE
6/26/13,0,983,581,FALSE
1/29/15,0,4470,1163,FALSE
5/31/13,0,1054,555,FALSE
1/22/12,0,2387,62,FALSE
2/14/14,0,3594,814,FALSE
8/1/13,0,1135,617,FALSE
3/13/16,0,5153,1572,FALSE
12/5/15,0,8036,1473,FALSE
1/13/13,0,3088,417,FALSE
1/14/15,0,5136,1148,FALSE
3/15/14,0,3156,843,FALSE
7/8/13,0,1027,593,FALSE
1/8/12,0,2120,51,FALSE
8/18/15,0,2716,1364,FALSE
1/14/16,0,6042,1513,FALSE
4/21/14,0,1891,880,FALSE
7/21/15,0,2157,1336,FALSE
6/2/12,0,642,192,FALSE
4/22/13,0,1032,516,FALSE
6/14/14,0,1932,934,FALSE
5/26/14,0,2108,915,FALSE
8/29/15,0,16787,1375,FALSE
3/10/12,0,883,109,FALSE
8/16/12,0,690,267,FALSE
2/3/12,0,1224,74,FALSE
4/27/13,0,1415,521,FALSE
7/28/13,0,1007,613,FALSE
2/14/12,0,1275,85,FALSE
11/2/13,0,3422,710,FALSE
2/4/16,0,5698,1534,FALSE
11/24/12,0,3258,367,FALSE
2/5/13,0,2233,440,FALSE
1/14/12,0,2493,57,FALSE
9/16/14,0,6944,1028,FALSE
2/20/14,0,2866,820,FALSE
9/25/14,1,7224,1037,TRUE
1/24/14,0,4281,793,FALSE
11/20/14,1,4092,1093,TRUE
12/14/13,0,4596,752,FALSE
1/7/16,0,6491,1506,FALSE
10/24/12,0,2962,336,FALSE
7/11/14,0,1664,961,FALSE
7/18/13,0,959,603,FALSE
4/25/12,0,737,155,FALSE
2/5/12,0,2118,76,FALSE
5/25/13,0,1292,549,FALSE
12/18/13,0,3738,756,FALSE
8/14/12,0,806,265,FALSE
12/14/14,14,5759,1117,TRUE
3/10/14,0,2458,838,FALSE
10/22/13,0,2862,699,FALSE
3/28/13,0,1426,491,FALSE
2/26/14,0,2655,826,FALSE
10/25/15,12,8798,1432,TRUE
12/21/11,0,1927,33,FALSE
6/9/13,0,1122,564,FALSE
9/14/12,0,3828,296,FALSE
12/30/15,0,9406,1498,FALSE
1/14/14,0,4130,783,FALSE
10/31/14,0,4685,1073,FALSE
10/27/12,0,3734,339,FALSE
4/25/15,0,3121,1249,FALSE
11/24/15,0,6531,1462,FALSE
11/30/15,1,6163,1468,TRUE
11/12/15,1,5837,1450,TRUE
4/19/16,0,2447,1609,FALSE
7/5/14,0,1448,955,FALSE
8/21/15,0,2306,1367,FALSE
4/4/14,0,2201,863,FALSE
10/19/15,1,6198,1426,TRUE
6/22/13,0,1056,577,FALSE
9/22/14,1,6901,1034,TRUE
12/1/14,1,4668,1104,TRUE
3/20/12,0,902,119,FALSE
10/30/15,0,6863,1437,FALSE
5/24/14,0,2230,913,FALSE
12/28/14,16,6519,1131,TRUE
1/14/13,0,2789,418,FALSE
7/17/13,0,943,602,FALSE
1/12/14,0,4889,781,FALSE
4/4/13,0,1211,498,FALSE
12/25/12,0,3899,398,FALSE
10/12/12,0,3072,324,FALSE
3/3/15,0,3334,1196,FALSE
10/8/15,1,6251,1415,TRUE
7/18/12,0,684,238,FALSE
2/26/12,0,1384,96,FALSE
10/7/12,12,4006,319,TRUE
2/9/16,0,6469,1539,FALSE
1/23/16,0,9257,1522,FALSE
7/22/12,0,748,242,FALSE
2/22/12,0,1282,92,FALSE
3/11/15,0,3242,1204,FALSE
3/30/12,0,798,129,FALSE
2/16/16,0,5723,1546,FALSE
5/27/14,0,1730,916,FALSE
3/7/14,0,2454,835,FALSE
7/30/13,0,946,615,FALSE
6/8/15,0,2050,1293,FALSE
11/22/14,0,5693,1095,FALSE
9/16/13,1,3750,663,TRUE
3/22/13,0,1396,485,FALSE
8/29/12,0,6987,280,FALSE
2/13/14,0,3708,813,FALSE
6/7/13,0,1008,562,FALSE
4/9/15,0,2770,1233,FALSE
2/26/15,0,3712,1191,FALSE
2/9/12,0,1387,80,FALSE
8/1/14,0,1970,982,FALSE
10/26/12,0,3014,338,FALSE
